Kategorie,Merkmal,Variable im Datensatz,Methode/Modell,Aggregation auf Videoebene,Interpretation
Engagement,Engagement-Rate,engagement_rate,Aus TikTok-Engagementmetriken,(Likes + Kommentare + Shares ggf. Saves) / Views oder vorhandene Rate,Höhere Werte stehen für relativ stärkeres Engagement.
Strukturale Inszenierung und visuelle Dynamik,Videolänge,video_duration_seconds,Metadaten/Videoanalyse,Dauer pro Video,Längere Werte stehen für längere Videos.
Strukturale Inszenierung und visuelle Dynamik,Cut Count,cuts__cut_count,Frame-Differenzanalyse mit Schwelle 25.0 und Mindestabstand 1 Frame,Anzahl erkannter Schnitte pro Video,Höhere Werte deuten auf dynamischere Montage hin.
Strukturale Inszenierung und visuelle Dynamik,Cuts pro Sekunde,cuts__cuts_per_second,Frame-Differenzanalyse mit Schwelle 25.0 und Mindestabstand 1 Frame,Schnitte pro Videosekunde,Höhere Werte deuten auf schnellere visuelle Dynamik hin.
Strukturale Inszenierung und visuelle Dynamik,Sekunden pro Cut,seconds_per_cut,Abgeleitet aus Videolänge und Cut Count,Videolänge geteilt durch Anzahl erkannter Schnitte; nur für Videos mit mindestens einem erkannten Schnitt definiert,Höhere Werte deuten auf langsamere Schnittfrequenz hin.
Strukturale Inszenierung und visuelle Dynamik,Szenenvielfalt,scene_classification__scene_unique_labels,Places365 ResNet18-Szenenklassifikation,Anzahl unterschiedlicher Szenenlabels pro Video,Höhere Werte deuten auf größere Szenenvariation hin.
Strukturale Inszenierung und visuelle Dynamik,Kameradistanzvariation,camera_distance__camera_distance_unique_labels,DINOv2 Shot-Scale-Klassifikation (pszemraj/dinov2-small-film-shot-classifier),Anzahl unterschiedlicher Kameradistanzlabels pro Video,Höhere Werte deuten auf stärkere Variation der Einstellungsgrößen hin.
Bildtechnische Qualität,Helligkeit,brightness_contrast__brightness_index,OpenCV: Mittelwert der Graustufenhelligkeit je Frame,Mittelwert über gesampelte Frames auf Videoebene,Höhere Werte stehen für hellere Bildgestaltung.
Bildtechnische Qualität,Kontrast,brightness_contrast__contrast_index,OpenCV: Standardabweichung der Graustufenhelligkeit je Frame,Mittelwert über gesampelte Frames auf Videoebene,Höhere Werte stehen für stärkere Helligkeitskontraste.
Bildtechnische Qualität,Sättigung,saturation__saturation_index,OpenCV: Mittelwert des HSV-Sättigungskanals je Frame,Mittelwert über gesampelte Frames auf Videoebene,Höhere Werte stehen für intensivere Farbsättigung.
Bildtechnische Qualität,Schärfe,visual_sharpness__sharpness_laplacian_mean,OpenCV: Varianz des Laplacian-Filters je Frame,Mittelwert über gesampelte Frames auf Videoebene,Höhere Werte stehen für stärkere Kanten-/Schärfeausprägung.
Ästhetik und visuelle Optimierung,Aesthetic Score,aesthetic_quality__aesthetic_quality_score,Aesthetics Predictor ViT-B/32 (shunk031/aesthetics-predictor-v1-vit-base-patch32),Mittelwert der Frame-Scores auf Videoebene,Höhere Werte stehen für höhere geschätzte ästhetische Qualität.
Ästhetik und visuelle Optimierung,Beauty Score,beauty_scoring__beauty_score_mean,OpenCV Haar-Face-Detection und ResNeXt50-Caffe Beauty-Modell,Mittelwert der erkannten Face-Scores auf Videoebene,Höhere Werte stehen für höhere geschätzte Schönheitsbewertung.
Ästhetik und visuelle Optimierung,Beauty Score SD,beauty_scoring__beauty_score_std,OpenCV Haar-Face-Detection und ResNeXt50-Caffe Beauty-Modell,Standardabweichung der erkannten Face-Scores auf Videoebene,Höhere Werte stehen für stärkere Variation der Bewertung im Video.
Ästhetik und visuelle Optimierung,Hautglättung,skin_smoothness__skin_smoothness_highpass_index,Gesichtsbasierte Highpass-Texturmetrik; Index = 1 / (1 + Highpass-Varianz),Mittelwert der erkannten Face-/Skin-Frame-Scores auf Videoebene,Höhere Werte deuten auf geringere Highpass-Textur und damit glattere Hautdarstellung hin.
Emotion und Präsenz,Face Pitch,angle_face_orientation__face_pitch_mean,MediaPipe FaceDetection-Keypoints; approximierte Pitch-Winkel in Grad,Mittelwert erkannter Face-Frames auf Videoebene,"Positive Werte entsprechen im verwendeten Schema einer stärkeren Down-Orientierung, negative Werte einer Up-Orientierung."
Emotion und Präsenz,Face Yaw,angle_face_orientation__face_yaw_mean,MediaPipe FaceDetection-Keypoints; approximierte Yaw-Winkel in Grad,Mittelwert erkannter Face-Frames auf Videoebene,"Positive Werte entsprechen im verwendeten Schema einer stärkeren Right-Orientierung, negative Werte einer Left-Orientierung."
Emotion und Präsenz,Pose Confidence,body_pose__pose_confidence,SwinV2 Pose-Klassifikation (Harsha901/swinv2-tiny-human-pose-classification-model),Mittelwert der Klassifikationskonfidenzen über gesampelte Frames,Höhere Werte stehen für sicherere Pose-Annotationen.
Emotion und Präsenz,Personenanzahl,structural_personen_anzahl__personen_anzahl,Kombination aus RetinaFace-Gesichtserkennung und OpenCV-HOG-Personendetektor,Mittelwert der geschätzten Personenzahl über gesampelte Frames,Höhere Werte stehen für mehr erkannte Personen im Video.
Textuelle Merkmale,Caption-Länge Zeichen,caption_length_chars,Textlängenmessung,Anzahl Zeichen pro Caption,Höhere Werte stehen für längere Captions.
Textuelle Merkmale,Caption-Länge Wörter,caption_length_words,Textlängenmessung,Anzahl Wörter pro Caption,Höhere Werte stehen für längere Captions.
Textuelle Merkmale,Caption-Sentiment-Index,caption_sentiment_index,RoBERTa-Sentimentmodell cardiffnlp/twitter-roberta-base-sentiment-latest,Score pro Caption auf Videoebene,Positive Werte deuten auf positiveres Caption-Sentiment hin.
Textuelle Merkmale,Kommentar-Sentiment-Index,comment_sentiment_index_mean,RoBERTa-Sentimentmodell cardiffnlp/twitter-roberta-base-sentiment-latest,Mittelwert der Kommentare pro Video,Positive Werte deuten auf positiveres Kommentar-Sentiment hin.
Textuelle Merkmale,Kommentar-Emotionsvielfalt,comment_emotion_unique_labels_mean,GoEmotions-Modell SamLowe/roberta-base-go_emotions mit Schwelle 0.10,Mittlere Anzahl der pro Kommentar aktivierten Emotionslabels pro Video,Höhere Werte deuten auf vielfältigere Kommentar-Emotionen hin.
Textuelle Merkmale,Topic-Vielfalt,topic_unique_labels,Sentence-Transformer all-MiniLM-L6-v2 Embeddings und MiniBatchKMeans-Clustering,Anzahl unterschiedlicher Topic-Labels pro Video,Höhere Werte deuten auf größere thematische Vielfalt in Kommentaren hin.
